0.548, 0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0.0591684, 0.0626157, 3.00333, 1, 1.00167, 2, 1, 29.8514, 9.99116
0.549, 0.001, 1.09532e-05, 8.42507e-06, 0.0109532, 0.00842507, 2.95826e-08, 3.13062e-08, 5.91636e-05, 6.26107e-05, 0.0591589, 0.0626056, 3.00335, 1.00004, 1.00169, 1.9989, 0.998051, 28.6969, 9.4764
0.55, 0.001, 3.3039e-05, 2.30266e-05, 0.0220858, 0.0146015, 1.18324e-07, 1.25218e-07, 0.000118318, 0.000125211, 0.0591493, 0.0625956, 3.00341, 1.00024, 1.00179, 1.99666, 0.994327, 27.5653, 8.98301
0.551, 0.001, 6.63748e-05, 4.17853e-05, 0.0333358, 0.0187587, 2.66215e-07, 2.81725e-07, 0.000177462, 0.000187802, 0.0591398, 0.0625855, 3.00356, 1.00071, 1.00199, 1.99324, 0.988976, 26.4555, 8.50975
0.552, 0.001, 0.00011102, 6.28968e-05, 0.0446456, 0.0211115, 4.73246e-07, 5.00818e-07, 0.000236597, 0.000250382, 0.0591303, 0.0625755, 3.00385, 1.00154, 1.00231, 1.9886, 0.982136, 25.3662, 8.05538
0.553, 0.001, 0.000166982, 8.47567e-05, 0.0559615, 0.0218599, 7.39406e-07, 7.82487e-07, 0.000295723, 0.000312953, 0.0591208, 0.0625654, 3.00431, 1.00281, 1.00271, 1.98273, 0.973934, 24.296, 7.6187
0.554, 0.001, 0.000234216, 0.000105947, 0.0672336, 0.0211902, 1.06469e-06, 1.12672e-06, 0.000354839, 0.000375513, 0.0591113, 0.0625553, 3.005, 1.00459, 1.00317, 1.97559, 0.964489, 23.2436, 7.19854
0.555, 0.001, 0.000312631, 0.000125222, 0.0784155, 0.0192753, 1.44908e-06, 1.53351e-06, 0.000413946, 0.000438063, 0.0591018, 0.0625453, 3.00595, 1.00693, 1.00365, 1.96717, 0.953909, 22.2079, 6.79378
0.556, 0.001, 0.000402095, 0.000141498, 0.0894643, 0.0162756, 1.89258e-06, 2.00284e-06, 0.000473043, 0.000500604, 0.0590923, 0.0625352, 3.00722, 1.00988, 1.00411, 1.95745, 0.942293, 21.1875, 6.40338
0.557, 0.001, 0.000502436, 0.000153838, 0.10034, 0.01234, 2.39516e-06, 2.53471e-06, 0.00053213, 0.000563134, 0.0590828, 0.0625251, 3.00884, 1.01347, 1.00448, 1.94642, 0.929735, 20.1816, 6.02637
0.558, 0.001, 0.000613442, 0.000161444, 0.111007, 0.00760627, 2.95683e-06, 3.12911e-06, 0.000591208, 0.000625654, 0.0590733, 0.0625151, 3.01085, 1.01772, 1.00472, 1.93409, 0.916318, 19.189, 5.66184
0.559, 0.001, 0.000734872, 0.000163646, 0.12143, 0.00220219, 3.57758e-06, 3.78602e-06, 0.000650277, 0.000688164, 0.0590637, 0.062505, 3.01329, 1.02264, 1.00476, 1.92044, 0.902121, 18.2089, 5.30895
