0.828, 0.01, 0.00441353, 0.000491825, 0.0537629, 0.0618886, 0.00154596, 0.00163603, 0.0133593, 0.0141376, 0.0569896, 0.06031, 5.11318, 1.10272, 1.91511, 1.10452, 0.46994, 15.6009, 4.56068
0.838, 0.01, 0.00543832, 0.00080871, 0.141913, 0.00823156, 0.0016824, 0.00178042, 0.0139287, 0.0147402, 0.0568945, 0.0602094, 5.11328, 1.10206, 1.9143, 0.97268, 0.345114, 12.3987, 3.52542
0.848, 0.01, 0.0072562, 0.000611971, 0.214065, -0.0414471, 0.00182453, 0.00193084, 0.0144972, 0.0153418, 0.0567994, 0.0601087, 5.11418, 1.10177, 1.91272, 0.768149, 0.197422, 8.38566, 2.27019
0.858, 0.01, 0.00968086, -3.77756e-05, 0.265455, -0.0834309, 0.00197234, 0.00208726, 0.0150647, 0.0159424, 0.0567042, 0.060008, 5.11598, 1.1018, 1.91026, 0.510411, 0.0394723, 3.91342, 0.903255
0.868, 0.01, 0.0124886, -0.00104723, 0.293169, -0.114794, 0.00212582, 0.00224968, 0.0156312, 0.016542, 0.0566091, 0.0599073, 5.1184, 1.10184, 1.90716, 0.222138, -0.115948, -0.647506, -0.463702
0.878, 0.01, 0.0154375, -0.00229935, 0.296283, -0.133589, 0.00228496, 0.00241809, 0.0161969, 0.0171405, 0.0565139, 0.0598066, 5.12092, 1.10151, 1.90391, -0.0727343, -0.256871, -4.93771, -1.72434
0.888, 0.01, 0.0182873, -0.00366374, 0.275833, -0.13895, 0.00244976, 0.00259249, 0.0167615, 0.0177381, 0.0564188, 0.0597059, 5.123, 1.10054, 1.90106, -0.350938, -0.373035, -8.63647, -2.78574
0.898, 0.01, 0.020818, -0.00500739, 0.234636, -0.131089, 0.00262019, 0.00277285, 0.0173252, 0.0183347, 0.0563236, 0.0596052, 5.12429, 1.09899, 1.89908, -0.59165, -0.456607, -11.4851, -3.57509
0.908, 0.01, 0.0228457, -0.00620508, 0.176983, -0.111226, 0.00279626, 0.00295918, 0.017888, 0.0189302, 0.0562285, 0.0595046, 5.12473, 1.09718, 1.89816, -0.777988, -0.502676, -13.304, -4.04441
0.918, 0.01, 0.0242356, -0.00714865, 0.108229, -0.0814487, 0.00297795, 0.00315145, 0.0184498, 0.0195247, 0.0561334, 0.0594039, 5.1246, 1.09569, 1.89821, -0.898126, -0.509503, -14.0026, -4.1731
